canonical_ticker,session_date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,source_symbol,delisting_return,corporate_action_note
MU,2026-06-05,944.400024414062,961.890014648438,864.010009765625,864.010009765625,77250500,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-08,938.27001953125,962.950012207031,916.5,949.280029296875,54097800,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-09,988.179992675781,989.150024414062,854.349975585938,935.890014648438,73448600,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-10,905.130004882812,957.47998046875,883.25,891.880004882812,55712600,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-11,904.369995117188,996.77001953125,895.5,995.869995117188,59418900,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-12,971.809997558594,1012.61999511719,960.190002441406,981.609985351562,40785200,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-15,1055.89001464844,1097.46997070312,1051.5,1087.98999023438,44994600,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-16,1099.69995117188,1110.40002441406,1020,1020.76000976562,45499800,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-17,1061.30004882812,1093.67004394531,1014.14001464844,1043.18994140625,46149200,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-18,1108.06994628906,1149.43005371094,1092.7900390625,1133.98999023438,64642500,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-22,1196.21997070312,1213.56005859375,1168.56994628906,1211.38000488281,53140800,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-23,1080,1125,1038.5,1051.77001953125,60243300,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-24,1082.21997070312,1083.31994628906,991.099975585938,1048.51000976562,68935700,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-25,1233,1255,1136.31005859375,1213.56005859375,82143900,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-26,1139.07995605469,1198.7099609375,1121.35998535156,1132.32995605469,86405300,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-29,1128.69995117188,1148.7900390625,1023.65002441406,1145.28002929688,60694100,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-30,1144.72998046875,1168.68005371094,1124.66003417969,1154.2900390625,42152600,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-07-01,1082.01000976562,1097,1032.19995117188,1032.28002929688,51328100,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-07-02,1041.5,1064.64001464844,950.280029296875,975.559997558594,61316900,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-05-29,214.330208741832,217.606389266769,210.884227943223,210.89421081543,289410600,NVDA,,provider_adjustment_factor=0.998835897627502;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-01,215.478857501391,224.608216723797,215.448893644638,224.098815917969,212850700,NVDA,,provider_adjustment_factor=0.998835867838865;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-02,226.915517516237,232.009586367479,221.092318014481,222.560607910156,193362900,NVDA,,provider_adjustment_factor=0.998835834280873;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-03,221.461887133135,222.560612670756,214.260273907876,214.5,160907000,NVDA,,provider_adjustment_factor=0.9988358556461;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-04,213.910003662109,221.600006103516,210.970001220703,218.660003662109,169022200,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc;events=dividend=0.25
NVDA,2026-06-05,214.529998779297,214.869995117188,204.330001831055,205.100006103516,219655500,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-08,210.179992675781,210.470001220703,206,208.639999389648,138372800,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
